G,G,G,w,w,R,R,R,R,R,w,w,Y,Y,Y,Y,Y,Y,w,w,L,L,L,L
G,G,G,w,w,R,R,R,R,R,w,w,Y,Y,Y,Y,Y,Y,w,w,L,L,L,L
GN,G,G,w,w,RL,RN,R,R,R,w,w,YL,YN,Y,Y,Y,Y,w,w,L,L,L,L
G,G,GR,w,w,R,R,R,R,R,w,w,YL,Y,Y,Y,Y,Y,w,w,L,L,L,L
G,G,G,w,w,R,R,R,R,R,w,w,Y,Y,Y,Y,Y,Y,w,w,LN,L,L,L
G,G,G,w,w,R,R,RD,R,R,w,w,Y,Y,Y,Y,Y,Y,w,w,L,L,L,L
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,Y,Y,Y,w,w,L,L,L,L
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,LU,L,L,L,L
w,K,K,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,L,L,L,L,L
w,K,K,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,L,L,L,L,L
KU,K,K,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,L,L,L,L,L
K,K,K,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,L,LD,L,L,L
KN,K,K,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,w,w,w,w,w
K,K,K,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,w,w,w,w,w
K,K,K,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,O,O,O,O,OU
K,K,K,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,O,O,O,O,O
K,K,K,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,O,O,O,O,O
K,K,KD,K,K,w,C,C,C,C,C,C,C,C,C,C,C,w,w,O,ON,O,O,O
w,w,w,w,w,w,C,C,C,w,w,w,w,w,w,w,w,w,w,O,O,O,O,O
S,S,S,S,S,w,w,w,w,w,w,w,B,B,B,B,B,w,w,OL,O,O,O,O
S,S,S,S,S,w,PU,PU,PU,w,w,BL,B,B,B,B,B,w,w,O,O,O,O,O
SN,S,S,S,w,w,P,P,P,w,w,B,BN,B,B,B,B,w,w,O,O,O,O,O
S,S,S,S,w,P,PN,P,P,P,w,B,B,B,B,B,B,w,w,O,O,O,O,O
S,S,S,S,w,P,P,P,P,P,w,B,B,B,B,B,B,w,w,O,O,O,O,O
S,S,S,SR,w,P,P,P,P,P,w,B,B,B,B,B,B,w,w,O,O,O,O,O